geo_id,tract_name,hs_grad_or_higher,bachelors_or_higher,bachelors_degree,graduate_degree,year
1400000US17031170400,"Census Tract 1704, Cook County, Illinois",2604,815,613,202,2018
1400000US17031170500,"Census Tract 1705, Cook County, Illinois",3933,1167,863,304,2018
1400000US17031170600,"Census Tract 1706, Cook County, Illinois",1705,398,282,116,2018
1400000US17031170700,"Census Tract 1707, Cook County, Illinois",2067,690,534,156,2018
1400000US17031170800,"Census Tract 1708, Cook County, Illinois",2647,661,424,237,2018
1400000US17031170900,"Census Tract 1709, Cook County, Illinois",1121,317,175,142,2018
1400000US17031171000,"Census Tract 1710, Cook County, Illinois",4536,1250,698,552,2018
1400000US17031171100,"Census Tract 1711, Cook County, Illinois",2338,805,570,235,2018
1400000US17031180100,"Census Tract 1801, Cook County, Illinois",4018,841,428,413,2018
1400000US17031190100,"Census Tract 1901, Cook County, Illinois",1181,239,159,80,2018
1400000US17031190200,"Census Tract 1902, Cook County, Illinois",2286,591,411,180,2018
1400000US17031190300,"Census Tract 1903, Cook County, Illinois",2628,604,455,149,2018
1400000US17031190401,"Census Tract 1904.01, Cook County, Illinois",2200,582,419,163,2018
1400000US17031190402,"Census Tract 1904.02, Cook County, Illinois",2758,595,435,160,2018
1400000US17031190601,"Census Tract 1906.01, Cook County, Illinois",2447,398,215,183,2018
1400000US17031190602,"Census Tract 1906.02, Cook County, Illinois",2387,505,385,120,2018
1400000US17031190701,"Census Tract 1907.01, Cook County, Illinois",1142,186,138,48,2018
1400000US17031190702,"Census Tract 1907.02, Cook County, Illinois",1619,282,186,96,2018
1400000US17031190800,"Census Tract 1908, Cook County, Illinois",2962,642,400,242,2018
1400000US17031190900,"Census Tract 1909, Cook County, Illinois",1140,155,126,29,2018
1400000US17031191000,"Census Tract 1910, Cook County, Illinois",1055,162,141,21,2018
1400000US17031191100,"Census Tract 1911, Cook County, Illinois",2948,407,271,136,2018
1400000US17031191200,"Census Tract 1912, Cook County, Illinois",1165,130,90,40,2018
1400000US17031191301,"Census Tract 1913.01, Cook County, Illinois",2041,401,366,35,2018
1400000US17031191302,"Census Tract 1913.02, Cook County, Illinois",1919,272,207,65,2018
1400000US17031200100,"Census Tract 2001, Cook County, Illinois",2001,642,422,220,2018
1400000US17031200200,"Census Tract 2002, Cook County, Illinois",2206,401,222,179,2018
1400000US17031200300,"Census Tract 2003, Cook County, Illinois",713,121,73,48,2018
1400000US17031200401,"Census Tract 2004.01, Cook County, Illinois",1261,288,208,80,2018
1400000US17031200402,"Census Tract 2004.02, Cook County, Illinois",1634,515,349,166,2018
1400000US17031210100,"Census Tract 2101, Cook County, Illinois",2309,1404,940,464,2018
1400000US17031210400,"Census Tract 2104, Cook County, Illinois",1366,382,298,84,2018
1400000US17031210501,"Census Tract 2105.01, Cook County, Illinois",1676,616,397,219,2018
1400000US17031210502,"Census Tract 2105.02, Cook County, Illinois",2362,804,508,296,2018
1400000US17031210601,"Census Tract 2106.01, Cook County, Illinois",1470,733,567,166,2018
1400000US17031210602,"Census Tract 2106.02, Cook County, Illinois",2399,1059,591,468,2018
1400000US17031210700,"Census Tract 2107, Cook County, Illinois",2497,1186,757,429,2018
1400000US17031210800,"Census Tract 2108, Cook County, Illinois",651,341,183,158,2018
1400000US17031210900,"Census Tract 2109, Cook County, Illinois",1892,1110,868,242,2018
1400000US17031220300,"Census Tract 2203, Cook County, Illinois",1569,1107,703,404,2018
1400000US17031220400,"Census Tract 2204, Cook County, Illinois",1959,1353,850,503,2018
1400000US17031220500,"Census Tract 2205, Cook County, Illinois",2056,1514,1012,502,2018
1400000US17031220601,"Census Tract 2206.01, Cook County, Illinois",1119,654,392,262,2018
1400000US17031220602,"Census Tract 2206.02, Cook County, Illinois",3416,1862,1266,596,2018
1400000US17031220701,"Census Tract 2207.01, Cook County, Illinois",2022,837,529,308,2018
1400000US17031220702,"Census Tract 2207.02, Cook County, Illinois",1852,846,617,229,2018
1400000US17031220901,"Census Tract 2209.01, Cook County, Illinois",1412,493,333,160,2018
1400000US17031220902,"Census Tract 2209.02, Cook County, Illinois",1517,449,284,165,2018
1400000US17031221000,"Census Tract 2210, Cook County, Illinois",1558,712,490,222,2018
1400000US17031221100,"Census Tract 2211, Cook County, Illinois",3060,1572,1087,485,2018
1400000US17031221200,"Census Tract 2212, Cook County, Illinois",2100,1401,840,561,2018
1400000US17031221300,"Census Tract 2213, Cook County, Illinois",1933,1169,718,451,2018
1400000US17031221400,"Census Tract 2214, Cook County, Illinois",2026,1266,856,410,2018
1400000US17031221500,"Census Tract 2215, Cook County, Illinois",2186,1277,907,370,2018
1400000US17031221600,"Census Tract 2216, Cook County, Illinois",2346,1882,1049,833,2018
1400000US17031222200,"Census Tract 2222, Cook County, Illinois",1641,1384,799,585,2018
1400000US17031222500,"Census Tract 2225, Cook County, Illinois",1097,566,387,179,2018
1400000US17031222600,"Census Tract 2226, Cook County, Illinois",1117,700,502,198,2018
