Reviewer,Date,review,clean_review,polarity,sentiment,year
Sherman H.,2012-09-30,"I went to the Walmart location on 95th and Western earlier today to pick up some toiletries, but the lines were too long. I then commuted to the Walmart location at 8331 S. Stewart Ave. to get the same products. The Quilted Northern Bath Tissue 24-roll double roll pack  was priced at $11.97 at the Walmart location on 95th and Western, but when I attempted to purchase the same exact item at 8331 S. Stewart it  costs $13.47. This is a $1.50 difference in price. Why the difference? I feel that  prices are different because of the contrasting racial make-ups of each neighborhood. The Walmart on 95th and Western is within a neighborhood where white people are the majority.  The Walmart on 83rd St. is in a predominantly black neighborhood. I question if this is a blatant reference to how Walmart values African-American money as opposed to the money of white people. In the next few weeks I will conduct a study, comparing the prices of the same exact products at different Walmart locations in neighborhoods that have dissimilar racial compositions.",went walmart location th western earlier today pick toiletries lines long commuted walmart location stewart ave get products quilted northern bath tissue roll double roll pack priced walmart location th western attempted purchase exact item stewart costs difference price difference feel prices different contrasting racial makeups neighborhood walmart th western within neighborhood white people majority walmart rd st predominantly black neighborhood question blatant reference walmart values africanamerican money opposed money white people next weeks conduct study comparing prices exact products different walmart locations neighborhoods dissimilar racial compositions,-0.014444444444444446,Neutral,2012
Iamjust'thatDamn G.,2014-12-05,"The worst WALMART Site to Store Pickup: Chicago Walmart Supercenter8331 S Stewart AveChicago, IL 60620If you want your merchandise on the pickup day thatS giving to you DO NOT HAVE IT SENT TO THIS STORE.  After receiving an email and calling to make sure my order was ready, I waited nearly 45 minutes just to be told its not there.  I ask to speak to a manager an one was called immediately, however it took her twenty minutes to address my concerns, she told me that she had forgot that I was waiting, even though we made eye contact.  I was told by a supervisor named YOLANDA that even though I receive and email saying my item is ready to be picked up, that I need to wait an additional two days before I come in to retrieve it, WHAT? (I know for a fact this is not true) I order 7 packages thru Walmart.Com and receive 5 email stating my items were ready for pickup.  YOLANDA said to disregard the emails, I paid someone to take me to the store and asked for reimbursement, and was told that it wasn't their fault.  The store worker looked for my packages for 5 minutes and said it was still on the FedEx truck.  ARE THESE PEOPLE SERIOUS.  WORST CUSTOMER SERVICE EVER.  Listen up Walmart, When someone pays their money for an item, they expect to get it with NO EXCUSES. LAZY, SAD, LIARS",worst walmart site store pickup chicago walmart supercenter stewart avechicago il want merchandise pickup day thats giving sent store receiving email calling make sure order ready waited nearly minutes told ask speak manager one called immediately however took twenty minutes address concerns told forgot waiting even though made eye contact told supervisor named yolanda even though receive email saying item ready picked need wait additional two days come retrieve know fact true order packages thru walmartcom receive email stating items ready pickup yolanda said disregard emails paid someone take store asked reimbursement told wasnt fault store worker looked packages minutes said still fedex truck people serious worst customer service ever listen walmart someone pays money item expect get excuses lazy sad liars,-0.13939393939393938,Negative,2014
Don U.,2015-09-04,no star this store will not replace or refund your items. If you have the item over 30 days and you have warranty that is for 1 or 2 year  that means noting . and the ladies that answer the phone are ass hole they put you on hole and don't come back you ask for the manger and they put you on hold and never let the manger know they have a call . They  just lie  i will not shop with walmart anymore.,star store replace refund items item days warranty year means noting ladies answer phone ass hole put hole dont come back ask manger put hold never let manger know call lie shop walmart anymore,0.0,Neutral,2015
Cedric T.,2016-04-16,"Purchased a tv online from walmart was supposed to pick it up at this location on Friday went there twice the second time I ask for manager after 5 mins. no one never came to the front . I went home and called customer service which was a difficult task it took 4 attempts ,1 attempt was disconnected, 2nd &3rd couldn't understand the rep.The 4th attempt spoke with a supervisor named Erica, she was suppose to call me today and upgrading or trying to find a solution and never received a call from her . The store manager called me this morning and ask did I order a baby crib I told him no I order a tv he said it should be in today just wait for a confirmation email which i never received. Don't know which one suck the most the online service, the customer service or the management at 8331 s. Stewart I guess all deals aren't good deals",purchased tv online walmart supposed pick location friday went twice second time ask manager mins one never came front went home called customer service difficult task took attempts attempt disconnected nd rd couldnt understand repthe th attempt spoke supervisor named erica suppose call today upgrading trying find solution never received call store manager called morning ask order baby crib told order tv said today wait confirmation email never received dont know one suck online service customer service management stewart guess deals arent good deals,0.06666666666666665,Neutral,2016
A Girl And A Dog A.,2015-12-02,"Lazy ghetto employees which lack customer service skills!! the employees take their time, ring up friends before the next customer in line and don't even try to disguise it!!! The store is dirty and employees don't even move carts out of the aisle so customers can walk through.  Go somewhere else, i can't even suggest another walmart because you'll get the same thing....just go to target",lazy ghetto employees lack customer service skills employees take time ring friends next customer line dont even try disguise store dirty employees dont even move carts aisle customers walk go somewhere else cant even suggest another walmart youll get thingjust go target,-0.2833333333333333,Negative,2015
Demetrius G.,2017-08-16,"3 1/2 years this Walmart hasn't changed a bit.......some employees are very helpful and polite it's only a few that exist at this store. My last visit at this location was horrible lines were long stretching back into the soft lines clothing section. Any retail chain knows that around 6pm on a weekday is the rush hour period. I stood in line for over thirty minutes, for some odd reason only 5-6 registers were open out of 15. But I see a million employees standing around and or on break. Assisting customers, checking them in a timely manner should be the #1 priority. Sales floor employees should be crossed trained to operate the registers when lines get out of control. But Walmart loose money when people get a cart full of groceries stand in line and leave them because the lines are to long. Also the self check out seems to never accept cash.",years walmart hasnt changed bitsome employees helpful polite exist store last visit location horrible lines long stretching back soft lines clothing section retail chain knows around pm weekday rush hour period stood line thirty minutes odd reason registers open see million employees standing around break assisting customers checking timely manner priority sales floor employees crossed trained operate registers lines get control walmart loose money people get cart full groceries stand line leave lines long also self check seems never accept cash,-0.08935897435897436,Neutral,2017
Angel B.,2015-09-12,"GHETTO Fabulous here!!!! I will never go back to this store. No customer service, man and woman. Walking around like they have a chip on their shoulders, faces all sucked in as if to say, please don't ask me for help. I see why I go to the Wal-Mart's I know! I be trying to support my black folk, but I see why I be hesitant at times. Truly sad, My people got to do better!",ghetto fabulous never go back store customer service man woman walking around like chip shoulders faces sucked say please dont ask help see go walmarts know trying support black folk see hesitant times truly sad people got better,0.046666666666666676,Neutral,2015
jaime m.,2013-01-22,"why are there always palettes in the isles & hardly ever stock on the ""MF' shelves? Why do the employees think its fine to hold conversations with coworkers & personal visitors while ringing customers up, this broad literally stopped ringning & bagging groceries to have a flirtatious convo w/ a dude that wasnt even mildly attractive :/.. why does this wlmart have the worst produce, but the walmart near my gig , not too far from union station has much better quality of fruit & everything is always  STOCKED ON THE DAMNED SHELVES!.ridiculous",always palettes isles hardly ever stock mf shelves employees think fine hold conversations coworkers personal visitors ringing customers broad literally stopped ringning bagging groceries flirtatious convo w dude wasnt even mildly attractive wlmart worst produce walmart near gig far union station much better quality fruit everything always stocked damned shelvesridiculous,0.0763888888888889,Neutral,2013
Kristina L.,2016-12-28,"unprofessional....employees are always conversating with each other and not the customers. walmart.com pick up is a joke for this location. there are always at least 10 carts full of ""go backs"" in the front.",unprofessionalemployees always conversating customers walmartcom pick joke location always least carts full go backs front,0.024999999999999994,Neutral,2016
Jennipher M.,2014-05-26,Some of the people that work here are extremely rude and do not understand the importance of customer service. I understand it may be time for you to clock out but do not complain to me and catch an attitude about being in your line. Just a suggestion to managers you have all of these lanes and employees with a significant amount of customers to avoid long lines and aggravated customers open more lanes.,people work extremely rude understand importance customer service understand may time clock complain catch attitude line suggestion managers lanes employees significant amount customers avoid long lines aggravated customers open lanes,0.006250000000000002,Neutral,2014
Steven D.,2017-06-15,I'm being generous giving this location ONE Star. Staff is rude and will not help. If there was a option for Zero Stars I would give it to them. Only go to this location only if you are desperate and don't feel like traveling to another location.,im generous giving location one star staff rude help option zero stars would give go location desperate dont feel like traveling another location,-0.44999999999999996,Negative,2017
