geo_id,tract_name,labor_force_population,unemployment_rate,mean_commute_minutes,median_household_income,per_capita_income,poverty_rate,year
1400000US17031071200,"Census Tract 712, Cook County, Illinois",1765,2,30.5,109191,79556,8.9,2018
1400000US17031071300,"Census Tract 713, Cook County, Illinois",3385,3.2,30.2,112788,104725,8.8,2018
1400000US17031071400,"Census Tract 714, Cook County, Illinois",4451,2.7,30.2,93529,86962,16.4,2018
1400000US17031071500,"Census Tract 715, Cook County, Illinois",5435,1.6,29.9,94598,85201,4.7,2018
1400000US17031071600,"Census Tract 716, Cook County, Illinois",1415,3,29.2,142583,98308,8.8,2018
1400000US17031071700,"Census Tract 717, Cook County, Illinois",1417,2.8,24.4,162054,90406,2.4,2018
1400000US17031071800,"Census Tract 718, Cook County, Illinois",2196,0.6,29.8,141806,96190,4.6,2018
1400000US17031080100,"Census Tract 801, Cook County, Illinois",6356,5.2,33.3,111372,116747,8.1,2018
1400000US17031080201,"Census Tract 802.01, Cook County, Illinois",3107,4.9,33.5,87221,82005,1.2,2018
1400000US17031080202,"Census Tract 802.02, Cook County, Illinois",3110,4,27.3,83806,103281,9.5,2018
1400000US17031080300,"Census Tract 803, Cook County, Illinois",4186,2.3,29.4,122479,109636,5.2,2018
1400000US17031080400,"Census Tract 804, Cook County, Illinois",3092,9.9,34.4,36927,45251,23,2018
1400000US17031081000,"Census Tract 810, Cook County, Illinois",7266,2.6,23.3,60566,49334,19.9,2018
1400000US17031081100,"Census Tract 811, Cook County, Illinois",3871,2.9,27.8,77267,70996,16.2,2018
1400000US17031081201,"Census Tract 812.01, Cook County, Illinois",4351,3.4,23.6,98186,130017,6.7,2018
1400000US17031081202,"Census Tract 812.02, Cook County, Illinois",2768,2.7,27.1,133079,127400,4.2,2018
1400000US17031081300,"Census Tract 813, Cook County, Illinois",5071,5.2,22.4,84223,85055,12.3,2018
1400000US17031081401,"Census Tract 814.01, Cook County, Illinois",2255,2.8,25.7,67313,94765,12.3,2018
1400000US17031081402,"Census Tract 814.02, Cook County, Illinois",4881,2.7,26.9,111970,110497,11.1,2018
1400000US17031081403,"Census Tract 814.03, Cook County, Illinois",7661,1,24.8,121318,111668,10.8,2018
1400000US17031081500,"Census Tract 815, Cook County, Illinois",4441,1.6,23.1,103664,113373,9.7,2018
1400000US17031081600,"Census Tract 816, Cook County, Illinois",3667,3.5,25.3,116897,105670,8,2018
1400000US17031081700,"Census Tract 817, Cook County, Illinois",3709,4.6,23.3,100708,99720,7.2,2018
1400000US17031081800,"Census Tract 818, Cook County, Illinois",8976,2.7,25.8,128243,110391,2.6,2018
1400000US17031081900,"Census Tract 819, Cook County, Illinois",769,1.9,29.8,158375,101935,22.6,2018
1400000US17031090100,"Census Tract 901, Cook County, Illinois",2716,2.8,30.4,95990,49987,3.9,2018
1400000US17031090200,"Census Tract 902, Cook County, Illinois",5443,1.9,31,103733,59545,2.1,2018
1400000US17031090300,"Census Tract 903, Cook County, Illinois",1078,0.5,31.1,97102,46663,3.4,2018
1400000US17031100100,"Census Tract 1001, Cook County, Illinois",4626,9.3,28.8,79665,48805,7.2,2018
1400000US17031100200,"Census Tract 1002, Cook County, Illinois",5614,3.2,32.2,74201,41402,9.6,2018
1400000US17031100300,"Census Tract 1003, Cook County, Illinois",5382,2.3,28.5,83197,47355,4,2018
1400000US17031100400,"Census Tract 1004, Cook County, Illinois",2593,5.2,31.8,93778,39677,5.3,2018
1400000US17031100500,"Census Tract 1005, Cook County, Illinois",4614,0.7,31.6,75759,40690,5.9,2018
1400000US17031100600,"Census Tract 1006, Cook County, Illinois",3807,3,35.6,75601,36901,5.2,2018
1400000US17031100700,"Census Tract 1007, Cook County, Illinois",3996,4.3,32.8,81458,39287,4,2018
1400000US17031110100,"Census Tract 1101, Cook County, Illinois",4231,5.2,33.4,79122,37228,12.1,2018
1400000US17031110200,"Census Tract 1102, Cook County, Illinois",2818,7,31.6,81731,33530,9,2018
1400000US17031110300,"Census Tract 1103, Cook County, Illinois",4665,3.9,33.9,81014,33680,13.2,2018
