geo_id,tract_name,households_total,median_household_income,mean_household_income,households_50k_74k,households_75k_99k,households_100k_149k,households_150k_199k,households_200k_plus,year
1400000US17031680900,"Census Tract 6809, Cook County, Illinois",1795,16411.0,22789.0,4.3,2.4,1.2,0.0,0.0,2019
1400000US17031681000,"Census Tract 6810, Cook County, Illinois",1042,17118.0,32941.0,4.4,4.6,2.7,0.0,2.3,2019
1400000US17031681100,"Census Tract 6811, Cook County, Illinois",863,22266.0,32966.0,13.3,5.7,3.0,2.5,0.0,2019
1400000US17031681200,"Census Tract 6812, Cook County, Illinois",799,19915.0,30521.0,11.4,1.4,4.3,1.6,0.5,2019
1400000US17031681300,"Census Tract 6813, Cook County, Illinois",769,25360.0,30586.0,12.9,8.2,0.8,0.0,0.0,2019
1400000US17031681400,"Census Tract 6814, Cook County, Illinois",833,43750.0,41286.0,26.9,9.5,0.6,0.0,0.0,2019
1400000US17031690300,"Census Tract 6903, Cook County, Illinois",778,19179.0,39438.0,4.0,8.5,3.3,0.0,2.8,2019
1400000US17031690400,"Census Tract 6904, Cook County, Illinois",1342,23868.0,39275.0,12.0,5.8,3.4,0.8,2.2,2019
1400000US17031690500,"Census Tract 6905, Cook County, Illinois",308,26154.0,34750.0,9.1,6.2,6.5,1.0,0.0,2019
1400000US17031690900,"Census Tract 6909, Cook County, Illinois",1624,32875.0,47230.0,12.4,6.2,9.4,4.7,0.8,2019
1400000US17031691000,"Census Tract 6910, Cook County, Illinois",1023,42538.0,54618.0,8.2,15.6,11.2,1.6,3.0,2019
1400000US17031691100,"Census Tract 6911, Cook County, Illinois",1050,24750.0,37657.0,14.1,11.3,1.1,3.3,0.0,2019
1400000US17031691200,"Census Tract 6912, Cook County, Illinois",1038,32241.0,42452.0,9.1,7.5,8.8,0.0,0.0,2019
1400000US17031691300,"Census Tract 6913, Cook County, Illinois",1070,43676.0,55131.0,15.5,16.8,6.6,4.7,1.9,2019
1400000US17031691400,"Census Tract 6914, Cook County, Illinois",1321,36363.0,48157.0,24.1,6.8,4.1,3.9,1.1,2019
1400000US17031691500,"Census Tract 6915, Cook County, Illinois",775,17011.0,32042.0,11.5,8.3,4.9,0.6,0.0,2019
1400000US17031700100,"Census Tract 7001, Cook County, Illinois",1001,68902.0,77153.0,23.0,10.1,26.1,7.5,0.0,2019
1400000US17031700200,"Census Tract 7002, Cook County, Illinois",1911,70863.0,75128.0,21.3,16.8,15.3,7.6,2.5,2019
1400000US17031700301,"Census Tract 7003.01, Cook County, Illinois",1741,69620.0,83720.0,19.9,16.8,16.1,6.2,6.4,2019
1400000US17031700302,"Census Tract 7003.02, Cook County, Illinois",1774,66250.0,81052.0,26.8,12.7,18.6,7.7,4.5,2019
1400000US17031700401,"Census Tract 7004.01, Cook County, Illinois",1922,65000.0,73854.0,16.7,15.8,25.4,5.2,1.2,2019
1400000US17031700402,"Census Tract 7004.02, Cook County, Illinois",1289,70072.0,77834.0,19.2,22.2,10.2,8.3,4.6,2019
1400000US17031700501,"Census Tract 7005.01, Cook County, Illinois",2454,65847.0,75287.0,24.7,15.7,15.0,11.1,0.7,2019
1400000US17031700502,"Census Tract 7005.02, Cook County, Illinois",1032,102125.0,99021.0,9.5,14.9,33.5,14.5,3.6,2019
1400000US17031710100,"Census Tract 7101, Cook County, Illinois",533,17841.0,28311.0,7.3,9.6,0.6,0.0,0.0,2019
1400000US17031710200,"Census Tract 7102, Cook County, Illinois",1752,25288.0,40209.0,10.3,9.2,8.3,0.0,0.0,2019
1400000US17031710300,"Census Tract 7103, Cook County, Illinois",513,35568.0,40992.0,11.5,7.8,8.0,0.0,0.0,2019
1400000US17031710400,"Census Tract 7104, Cook County, Illinois",1904,39659.0,58673.0,19.2,8.4,10.0,4.8,0.6,2019
1400000US17031710500,"Census Tract 7105, Cook County, Illinois",1587,30177.0,44689.0,12.6,9.4,5.5,0.7,2.6,2019
1400000US17031710600,"Census Tract 7106, Cook County, Illinois",671,33287.0,51886.0,14.8,15.5,1.8,2.2,1.8,2019
1400000US17031710700,"Census Tract 7107, Cook County, Illinois",1333,19467.0,37713.0,13.1,3.2,6.9,0.8,2.3,2019
1400000US17031710800,"Census Tract 7108, Cook County, Illinois",1945,23162.0,37759.0,9.0,4.5,9.2,1.0,0.0,2019
1400000US17031710900,"Census Tract 7109, Cook County, Illinois",761,32064.0,47423.0,8.1,8.3,9.2,2.8,1.7,2019
1400000US17031711000,"Census Tract 7110, Cook County, Illinois",1110,43855.0,47517.0,31.6,7.4,5.0,0.0,0.6,2019
1400000US17031711100,"Census Tract 7111, Cook County, Illinois",889,39208.0,56350.0,14.5,8.4,9.4,0.0,3.8,2019
1400000US17031711200,"Census Tract 7112, Cook County, Illinois",1931,45298.0,66398.0,17.2,13.2,12.9,4.9,0.9,2019
1400000US17031711300,"Census Tract 7113, Cook County, Illinois",609,41188.0,58551.0,13.3,6.4,25.9,0.0,1.1,2019
1400000US17031711400,"Census Tract 7114, Cook County, Illinois",814,43500.0,54400.0,19.3,11.4,8.0,2.0,1.4,2019
1400000US17031711500,"Census Tract 7115, Cook County, Illinois",809,44851.0,53069.0,22.0,4.7,13.1,1.5,2.5,2019
1400000US17031720100,"Census Tract 7201, Cook County, Illinois",1184,149605.0,197577.0,11.0,11.7,16.5,18.2,31.5,2019
1400000US17031720200,"Census Tract 7202, Cook County, Illinois",1636,71979.0,109310.0,16.6,16.7,9.2,13.7,8.9,2019
1400000US17031720300,"Census Tract 7203, Cook County, Illinois",1335,115536.0,132103.0,7.6,12.9,25.0,18.0,16.2,2019
1400000US17031720400,"Census Tract 7204, Cook County, Illinois",672,102857.0,120674.0,15.3,21.1,22.8,16.5,11.6,2019
1400000US17031720500,"Census Tract 7205, Cook County, Illinois",750,111667.0,132075.0,10.1,15.6,16.0,20.0,19.7,2019
1400000US17031720600,"Census Tract 7206, Cook County, Illinois",617,113964.0,143484.0,5.2,15.9,24.1,16.4,18.0,2019
1400000US17031720700,"Census Tract 7207, Cook County, Illinois",1287,67438.0,101698.0,24.8,10.1,20.0,6.1,10.3,2019
1400000US17031730100,"Census Tract 7301, Cook County, Illinois",888,53125.0,65330.0,13.4,11.9,22.1,2.6,0.5,2019
1400000US17031730201,"Census Tract 7302.01, Cook County, Illinois",2258,26731.0,45534.0,15.4,10.9,8.8,1.4,1.0,2019
1400000US17031730202,"Census Tract 7302.02, Cook County, Illinois",1038,57143.0,70887.0,22.6,15.4,16.3,3.5,2.9,2019
1400000US17031730300,"Census Tract 7303, Cook County, Illinois",400,47969.0,56101.0,20.0,11.0,9.3,5.5,1.0,2019
1400000US17031730400,"Census Tract 7304, Cook County, Illinois",1339,80787.0,88936.0,13.0,19.9,19.0,13.7,4.2,2019
1400000US17031730500,"Census Tract 7305, Cook County, Illinois",1428,57357.0,69169.0,27.5,12.0,11.3,2.2,4.1,2019
1400000US17031730600,"Census Tract 7306, Cook County, Illinois",1184,43274.0,58506.0,16.9,10.7,11.1,3.4,1.8,2019
1400000US17031730700,"Census Tract 7307, Cook County, Illinois",752,51957.0,62139.0,21.3,7.7,16.5,6.0,0.9,2019
1400000US17031740100,"Census Tract 7401, Cook County, Illinois",1149,93217.0,105528.0,8.2,23.8,22.6,4.3,13.7,2019
1400000US17031740200,"Census Tract 7402, Cook County, Illinois",1937,105655.0,110123.0,4.3,15.0,29.8,16.8,8.5,2019
1400000US17031740300,"Census Tract 7403, Cook County, Illinois",1768,127069.0,130664.0,6.2,10.8,30.5,25.7,12.6,2019
1400000US17031740400,"Census Tract 7404, Cook County, Illinois",1838,85064.0,96002.0,16.4,17.4,17.6,12.7,6.9,2019
1400000US17031750100,"Census Tract 7501, Cook County, Illinois",1414,43277.0,58193.0,15.9,9.8,12.4,5.6,0.7,2019
1400000US17031750200,"Census Tract 7502, Cook County, Illinois",1286,80561.0,107229.0,13.1,7.4,21.4,11.0,11.6,2019
1400000US17031750300,"Census Tract 7503, Cook County, Illinois",966,100595.0,123494.0,11.6,14.2,21.5,13.0,16.5,2019
1400000US17031750400,"Census Tract 7504, Cook County, Illinois",1201,97305.0,121146.0,10.5,15.8,26.3,9.6,12.5,2019
1400000US17031750500,"Census Tract 7505, Cook County, Illinois",1978,55750.0,72091.0,17.6,13.4,14.5,2.7,4.1,2019
