geo_id,tract_name,population,median_age,under_18_pct,age_65_plus_pct,white_pct,black_pct,asian_pct,hispanic_pct,year
1400000US17031010400,"Census Tract 104, Cook County, Illinois",5213,25.2,556,259,3361,1104,241,5213,2019
1400000US17031010501,"Census Tract 105.01, Cook County, Illinois",4102,34.0,486,433,1902,1358,233,4102,2019
1400000US17031010502,"Census Tract 105.02, Cook County, Illinois",3089,31.3,473,166,1610,669,262,3089,2019
1400000US17031010503,"Census Tract 105.03, Cook County, Illinois",1806,42.3,146,597,1204,255,225,1806,2019
1400000US17031010600,"Census Tract 106, Cook County, Illinois",6395,32.9,970,462,3335,1139,204,6395,2019
1400000US17031010701,"Census Tract 107.01, Cook County, Illinois",3620,36.4,757,348,1489,849,310,3620,2019
1400000US17031010702,"Census Tract 107.02, Cook County, Illinois",5082,31.2,1391,94,1636,1599,361,5082,2019
1400000US17031020100,"Census Tract 201, Cook County, Illinois",3618,38.4,685,503,1134,1206,171,3618,2019
1400000US17031020200,"Census Tract 202, Cook County, Illinois",6840,35.7,2122,909,3294,711,1280,6840,2019
1400000US17031020301,"Census Tract 203.01, Cook County, Illinois",5384,35.7,1694,1330,4041,196,596,5384,2019
1400000US17031020302,"Census Tract 203.02, Cook County, Illinois",5137,39.5,1385,802,2996,497,677,5137,2019
1400000US17031020400,"Census Tract 204, Cook County, Illinois",4258,38.1,1069,605,1642,980,554,4258,2019
1400000US17031020500,"Census Tract 205, Cook County, Illinois",6775,34.5,1557,894,901,900,2749,6775,2019
1400000US17031020601,"Census Tract 206.01, Cook County, Illinois",6525,33.4,2021,826,3685,356,1807,6525,2019
1400000US17031020602,"Census Tract 206.02, Cook County, Illinois",4765,30.6,1527,600,1765,625,1082,4765,2019
1400000US17031020701,"Census Tract 207.01, Cook County, Illinois",1844,40.6,393,285,1217,80,304,1844,2019
1400000US17031020702,"Census Tract 207.02, Cook County, Illinois",8226,31.8,2607,1197,2965,698,1997,8226,2019
1400000US17031020801,"Census Tract 208.01, Cook County, Illinois",6175,39.1,1096,831,2290,187,1775,6175,2019
1400000US17031020802,"Census Tract 208.02, Cook County, Illinois",7916,35.0,2032,556,2593,568,2712,7916,2019
1400000US17031020901,"Census Tract 209.01, Cook County, Illinois",6155,32.9,1506,468,1448,1426,1588,6155,2019
1400000US17031020902,"Census Tract 209.02, Cook County, Illinois",4848,35.7,928,646,1865,656,1358,4848,2019
1400000US17031030101,"Census Tract 301.01, Cook County, Illinois",3911,38.4,697,623,1435,1017,625,3911,2019
1400000US17031030102,"Census Tract 301.02, Cook County, Illinois",2841,39.3,99,399,1394,527,386,2841,2019
1400000US17031030103,"Census Tract 301.03, Cook County, Illinois",2242,25.8,125,115,1189,443,248,2242,2019
1400000US17031030104,"Census Tract 301.04, Cook County, Illinois",3411,21.8,118,438,2217,272,544,3411,2019
1400000US17031030200,"Census Tract 302, Cook County, Illinois",5702,40.1,739,708,4356,303,223,5702,2019
1400000US17031030300,"Census Tract 303, Cook County, Illinois",3676,35.8,771,511,1266,560,510,3676,2019
1400000US17031030400,"Census Tract 304, Cook County, Illinois",2631,40.1,399,326,1514,73,186,2631,2019
1400000US17031030500,"Census Tract 305, Cook County, Illinois",6786,38.0,709,768,4171,375,360,6786,2019
1400000US17031030601,"Census Tract 306.01, Cook County, Illinois",3353,38.8,413,668,1464,593,746,3353,2019
1400000US17031030603,"Census Tract 306.03, Cook County, Illinois",2410,34.3,289,244,985,437,363,2410,2019
1400000US17031030604,"Census Tract 306.04, Cook County, Illinois",3763,39.3,370,646,1809,748,844,3763,2019
1400000US17031030701,"Census Tract 307.01, Cook County, Illinois",1625,36.4,127,225,758,437,173,1625,2019
1400000US17031030702,"Census Tract 307.02, Cook County, Illinois",2211,52.6,148,632,1370,43,609,2211,2019
1400000US17031030703,"Census Tract 307.03, Cook County, Illinois",2947,41.8,137,631,1761,531,108,2947,2019
1400000US17031030706,"Census Tract 307.06, Cook County, Illinois",2845,46.5,204,798,1638,426,569,2845,2019
1400000US17031030800,"Census Tract 308, Cook County, Illinois",4169,42.1,461,845,3086,126,398,4169,2019
1400000US17031030900,"Census Tract 309, Cook County, Illinois",3126,38.9,400,391,2217,185,277,3126,2019
1400000US17031031000,"Census Tract 310, Cook County, Illinois",3907,37.1,446,418,2696,187,359,3907,2019
1400000US17031031100,"Census Tract 311, Cook County, Illinois",4720,37.7,503,537,3177,176,523,4720,2019
1400000US17031031200,"Census Tract 312, Cook County, Illinois",6359,33.7,1296,511,2034,1403,1074,6359,2019
1400000US17031031300,"Census Tract 313, Cook County, Illinois",7775,46.4,976,1864,3625,1648,1548,7775,2019
1400000US17031031400,"Census Tract 314, Cook County, Illinois",4964,37.8,236,1051,3337,356,626,4964,2019
1400000US17031031501,"Census Tract 315.01, Cook County, Illinois",4474,37.9,739,804,1595,1401,750,4474,2019
1400000US17031031502,"Census Tract 315.02, Cook County, Illinois",4628,32.0,812,372,1634,1714,141,4628,2019
1400000US17031031700,"Census Tract 317, Cook County, Illinois",6785,32.9,629,358,4267,1544,178,6785,2019
1400000US17031031800,"Census Tract 318, Cook County, Illinois",1889,34.0,292,123,1393,54,165,1889,2019
1400000US17031031900,"Census Tract 319, Cook County, Illinois",2558,33.4,340,201,1786,205,126,2558,2019
1400000US17031032100,"Census Tract 321, Cook County, Illinois",7106,36.6,518,825,4871,312,489,7106,2019
1400000US17031040100,"Census Tract 401, Cook County, Illinois",4139,35.6,735,378,2560,253,170,4139,2019
1400000US17031040201,"Census Tract 402.01, Cook County, Illinois",6814,34.3,1120,708,4043,284,530,6814,2019
1400000US17031040202,"Census Tract 402.02, Cook County, Illinois",7634,36.2,1517,748,3501,369,1233,7634,2019
1400000US17031040300,"Census Tract 403, Cook County, Illinois",2953,43.6,412,626,1513,68,975,2953,2019
1400000US17031040401,"Census Tract 404.01, Cook County, Illinois",3250,35.8,523,289,2094,114,152,3250,2019
1400000US17031040402,"Census Tract 404.02, Cook County, Illinois",5154,32.5,983,256,3992,105,258,5154,2019
1400000US17031040600,"Census Tract 406, Cook County, Illinois",2607,32.9,411,204,2021,105,46,2607,2019
1400000US17031040700,"Census Tract 407, Cook County, Illinois",3435,37.4,669,236,2684,70,164,3435,2019
1400000US17031040800,"Census Tract 408, Cook County, Illinois",1691,37.7,251,201,1213,56,49,1691,2019
1400000US17031040900,"Census Tract 409, Cook County, Illinois",1904,37.1,231,181,1596,35,101,1904,2019
1400000US17031050100,"Census Tract 501, Cook County, Illinois",2736,33.9,502,244,2156,97,171,2736,2019
1400000US17031050200,"Census Tract 502, Cook County, Illinois",5092,39.5,1365,805,4131,95,224,5092,2019
1400000US17031050300,"Census Tract 503, Cook County, Illinois",2483,39.6,558,290,1733,0,291,2483,2019
1400000US17031050500,"Census Tract 505, Cook County, Illinois",5914,33.8,1824,330,5135,18,195,5914,2019
1400000US17031050600,"Census Tract 506, Cook County, Illinois",2160,35.0,347,174,1937,8,52,2160,2019
1400000US17031050700,"Census Tract 507, Cook County, Illinois",1742,31.9,430,135,1596,9,37,1742,2019
1400000US17031050800,"Census Tract 508, Cook County, Illinois",1402,32.8,366,59,1073,41,38,1402,2019
1400000US17031050900,"Census Tract 509, Cook County, Illinois",1414,33.8,320,137,949,12,85,1414,2019
1400000US17031051000,"Census Tract 510, Cook County, Illinois",1829,33.0,500,137,1136,44,108,1829,2019
1400000US17031051100,"Census Tract 511, Cook County, Illinois",1732,33.1,559,93,1225,23,96,1732,2019
1400000US17031051200,"Census Tract 512, Cook County, Illinois",1546,31.6,376,97,1216,98,54,1546,2019
1400000US17031051300,"Census Tract 513, Cook County, Illinois",2893,35.2,836,70,2430,72,91,2893,2019
1400000US17031051400,"Census Tract 514, Cook County, Illinois",2073,31.7,459,92,1427,137,125,2073,2019
1400000US17031060100,"Census Tract 601, Cook County, Illinois",2939,35.1,691,181,2198,152,196,2939,2019
1400000US17031060200,"Census Tract 602, Cook County, Illinois",2248,32.9,355,126,1572,42,170,2248,2019
1400000US17031060300,"Census Tract 603, Cook County, Illinois",2936,32.9,404,246,2236,49,242,2936,2019
1400000US17031060400,"Census Tract 604, Cook County, Illinois",3877,31.1,851,148,3156,25,136,3877,2019
1400000US17031060500,"Census Tract 605, Cook County, Illinois",1197,45.5,142,435,842,34,150,1197,2019
1400000US17031060800,"Census Tract 608, Cook County, Illinois",5037,35.0,404,562,3617,174,509,5037,2019
1400000US17031060900,"Census Tract 609, Cook County, Illinois",7292,34.9,530,766,5088,625,386,7292,2019
1400000US17031061000,"Census Tract 610, Cook County, Illinois",2202,30.1,109,37,1750,33,120,2202,2019
1400000US17031061100,"Census Tract 611, Cook County, Illinois",1368,28.5,123,40,1199,41,55,1368,2019
1400000US17031061200,"Census Tract 612, Cook County, Illinois",2164,28.2,449,107,1698,28,94,2164,2019
1400000US17031061500,"Census Tract 615, Cook County, Illinois",2000,29.5,178,98,1677,27,41,2000,2019
1400000US17031061800,"Census Tract 618, Cook County, Illinois",1415,28.1,182,85,978,45,102,1415,2019
1400000US17031061901,"Census Tract 619.01, Cook County, Illinois",3492,35.3,239,328,2406,79,652,3492,2019
1400000US17031061902,"Census Tract 619.02, Cook County, Illinois",4759,37.8,329,821,3876,134,473,4759,2019
1400000US17031062000,"Census Tract 620, Cook County, Illinois",3027,28.3,239,93,2475,117,145,3027,2019
1400000US17031062100,"Census Tract 621, Cook County, Illinois",3722,29.8,272,258,3005,180,237,3722,2019
1400000US17031062200,"Census Tract 622, Cook County, Illinois",2988,29.5,445,102,2465,33,74,2988,2019
1400000US17031062300,"Census Tract 623, Cook County, Illinois",1595,30.9,305,93,1302,34,112,1595,2019
1400000US17031062400,"Census Tract 624, Cook County, Illinois",1571,33.3,246,182,1346,75,43,1571,2019
1400000US17031062500,"Census Tract 625, Cook County, Illinois",1556,31.7,247,88,1175,49,145,1556,2019
1400000US17031062600,"Census Tract 626, Cook County, Illinois",2442,32.9,664,75,1785,45,245,2442,2019
1400000US17031062700,"Census Tract 627, Cook County, Illinois",2982,30.4,640,177,2587,7,40,2982,2019
1400000US17031062800,"Census Tract 628, Cook County, Illinois",3460,30.2,580,128,2854,63,272,3460,2019
1400000US17031062900,"Census Tract 629, Cook County, Illinois",3818,28.8,499,88,3068,276,205,3818,2019
1400000US17031063000,"Census Tract 630, Cook County, Illinois",3456,29.2,387,103,2506,172,353,3456,2019
1400000US17031063100,"Census Tract 631, Cook County, Illinois",2238,29.8,225,75,1823,24,150,2238,2019
1400000US17031063200,"Census Tract 632, Cook County, Illinois",6745,33.1,511,925,5660,193,346,6745,2019
1400000US17031063301,"Census Tract 633.01, Cook County, Illinois",2735,32.0,205,483,2100,164,123,2735,2019
1400000US17031063302,"Census Tract 633.02, Cook County, Illinois",3967,30.5,233,389,3120,102,370,3967,2019
1400000US17031063303,"Census Tract 633.03, Cook County, Illinois",1243,67.4,33,660,1057,0,158,1243,2019
1400000US17031063400,"Census Tract 634, Cook County, Illinois",2443,29.5,302,74,1949,65,177,2443,2019
1400000US17031070101,"Census Tract 701.01, Cook County, Illinois",3885,32.8,411,694,3053,72,194,3885,2019
1400000US17031070102,"Census Tract 701.02, Cook County, Illinois",2918,30.4,177,293,2239,173,118,2918,2019
1400000US17031070103,"Census Tract 701.03, Cook County, Illinois",1636,27.4,61,84,1221,64,173,1636,2019
1400000US17031070200,"Census Tract 702, Cook County, Illinois",4216,29.9,559,273,3444,166,195,4216,2019
1400000US17031070300,"Census Tract 703, Cook County, Illinois",3634,29.1,444,90,3070,31,174,3634,2019
1400000US17031070400,"Census Tract 704, Cook County, Illinois",3151,34.7,413,510,2532,177,254,3151,2019
1400000US17031070500,"Census Tract 705, Cook County, Illinois",3458,34.5,541,457,2816,237,189,3458,2019
1400000US17031070600,"Census Tract 706, Cook County, Illinois",3296,30.6,856,118,2889,11,215,3296,2019
1400000US17031070700,"Census Tract 707, Cook County, Illinois",4191,30.0,874,221,2666,665,352,4191,2019
1400000US17031071000,"Census Tract 710, Cook County, Illinois",4634,21.4,350,180,3606,303,332,4634,2019
